surah_number,ayah_number,translation
67,19,"Patutkah mereka menutup mata dan memerhatikan (kekuasaan Allah pada) burung yang terbang, (siapakah yang menjaga) ketika burung itu mengembangkan dan menguncupkan sayapnya? Tidak ada yang menahannya (daripada jatuh) selain (kekuasaan) Allah Yang Maha Pemurah. Sesungguhnya Dia Maha Melihat serta mengetahui segala sesuatu."
67,20,Atau siapakah yang akan menjadi bala tentera bagimu yang dapat membelamu selain Allah Yang Maha Pemurah? (Sebenarnya) orang kafir itu hanya berada dalam keadaan terpedaya.
67,21,Atau siapakah yang dapat memberimu rezeki jika Allah menahan rezeki-Nya? (Tidak ada sesiapa pun) bahkan mereka (yang musyrik itu) terus kekal dalam kesombongan dan menjauhkan diri daripada kebenaran.
67,22,"Adakah orang yang berjalan (melalui jalan yang tidak betul, yang menyebabkan dia selalu jatuh) tersungkur boleh mendapat hidayah atau orang yang berjalan tegak di atas jalan yang lurus?"
67,23,"Katakanlah (wahai Muhammad), Dia yang menciptakan kamu (daripada tiada kepada ada) dan menjadikan pendengaran, penglihatan dan hati nurani (akal untuk kamu berfikir). Tetapi, sedikit sekali kamu bersyukur."
67,24,"Katakanlah, Dialah yang menjadikan kamu berkembang biak di muka bumi dan hanya kepada-Nya kamu akan dikumpulkan."
67,25,"Dan mereka (yang ingkar) berkata, Bilakah datangnya hari kiamat yang dijanjikan itu, jika kamu orang yang benar?"
67,26,"Katakanlah (wahai Muhammad), Sesungguhnya ilmu (tentang hari kiamat itu) hanya ada pada Allah dan aku hanya pemberi peringatan dan amaran yang jelas."
67,27,"Maka apabila mereka melihat azab (pada hari kiamat) sudah dekat, wajah orang kafir itu menjadi muram lalu dikatakan (kepada mereka), Inilah (azab) yang dahulu kamu minta disegerakan kedatangannya!"
67,28,"Tanyalah (wahai Muhammad) kepada mereka, Bagaimanakah fikiran kamu jika Allah membinasakan aku dan orang yang bersama-samaku (sebagaimana yang kamu harap-harapkan) atau memberi rahmat kepada kami, (sehingga kami dapat mengalahkan kamu), lalu siapakah yang dapat melindungi orang kafir daripada azab yang tidak terperi sakitnya?"
67,29,"Tegaskan (wahai Muhammad kepada mereka), Dialah Yang Maha Pemurah, kami beriman dengan-Nya dan kepada-Nya kami bertawakal. Maka kelak kamu akan menge-tahui siapa yang berada dalam kesesatan yang nyata."
67,30,"Katakanlah lagi, Bagaimanakah fikiran kamu jika sumber air kamu menjadi kering (ditelan bumi), maka siapakah (selain Allah) yang akan memberi kamu air yang sentiasa mengalir?"
68,1,.. Demi pena dan apa-apa yang ditulis oleh mereka.
68,2,"Dengan kurniaan Tuhanmu (wahai Muhammad), kamu bukanlah orang gila (sebagaimana yang dituduh oleh kaum musyrikin, bahkan kamu seorang yang bijaksana)."
68,3,Dan sesungguhnya kamu tetap mendapat pahala yang besar yang tidak terputus (sebagai balasan bagi melaksanakan ajaran Islam).
68,4,Dan sesungguhnya kamu mempunyai akhlak yang sangat mulia.
68,5,Maka (tidak lama lagi) kamu akan melihat dan mereka juga akan melihat.
68,6,Siapakah antara kamu yang gila?
68,7,"Sesungguhnya Tuhanmu, Dialah yang lebih mengetahui sesiapa yang sesat daripada jalan-Nya dan Dialah yang lebih mengetahui orang yang mendapat hidayah petunjuk."
68,8,Oleh itu (berpegang teguhlah pada ajaran Islam yang sedang kamu amalkan dan) janganlah menurut kemahuan orang yang mendustakan (agama Allah).
68,9,"Dan mereka menginginkan agar kamu bertolak ansur (menurut kemahuan mereka), supaya mereka juga bertolak ansur, berlemah-lembut (pada zahirnya terhadapmu)."
68,10,Dan janganlah kamu (berubah daripada pendirianmu yang benar dan jangan) menurut kemahuan orang yang selalu bersumpah lagi hina (pendapat dan amalannya).
68,11,Yang suka mengumpat dan suka me-nyebarkan fitnah (untuk memecahbelahkan orang ramai).
68,12,"Yang menghalang segala amal kebajikan, yang melampaui batas dan yang banyak dosanya."
68,13,Yang bertabiat kejam selain terkenal dengan kejahatannya.
68,14,Adakah kerana dia seorang hartawan dan ramai anaknya (maka dia mendustakan agama Kami)?
68,15,"Apabila ayat-ayat Kami dibacakan kepadanya, dia berkata, (Ini adalah) cerita dongeng orang dahulu kala."
68,16,(Orang yang bersifat demikian akan didedahkan kehinaannya). Kelak Kami akan beri tanda di atas hidungnya (berupa belalai).
68,17,Sesungguhnya Kami telah timpakan mereka dengan bala bencana sebagaimana Kami timpakan kepada pemilik-pemilik kebun (daripada kaum yang terdahulu) ketika mereka bersumpah (bahawa) mereka akan memetik buah-buahan kebun itu pada keesokan.
68,18,Serta mereka tidak menyebut penge-cualian.
68,19,Lalu kebun itu ditimpa bencana yang datang daripada Tuhanmu ketika mereka sedang tidur (pada waktu malam).
68,20,Maka jadilah kebun itu sebuah kebun yang telah binasa kesemuanya.
68,21,Lalu pada waktu pagi mereka saling memanggil antara satu dengan yang lain.
68,22,"(Sesetengah mereka berkata), Pergilah ke kebunmu pagi-pagi jika kamu hendak memetik buahnya."
68,23,Maka mereka pun berjalan sambil berbisik-bisik.
68,24,"Pada hari ini, jangan sampai ada orang miskin masuk ke dalam kebunmu."
68,25,Berangkatlah mereka pada waktu pagi dengan niat menghalang orang miskin daripada mendapat hasil kebun itu.
68,26,"Sebaik-baik sahaja mereka melihat kebun itu, mereka berkata, Sebenarnya kita telah sesat jalan (ini bukan kebun kita)."
68,27,"(Setelah memerhati dengan teliti, mereka berkata, Tidak! Kita tidak sesat) bahkan kita orang yang dihampakan (daripada hasil kebun kita dengan sebab ingatan buruk kita sendiri)."
68,28,"Berkatalah orang yang bersikap adil antara mereka, Bukankah aku telah mengatakan kepadamu, elok kiranya kamu mengingati Allah (serta membatalkan rancangan kamu yang jahat itu)."
68,29,"Mereka berkata dengan sesalnya, Maha Suci Tuhan kami! Sesungguhnya kami ialah orang yang zalim."
68,30,Lalu mereka saling berhadapan dan saling menyalahkan.
68,31,"Mereka berkata, Celakalah kita! Sesung-guhnya kita orang yang melampaui batas."
68,32,"Mudah-mudahan, (dengan sebab kita bertaubat) Tuhan menggantikan bagi kita yang lebih baik daripada (kebun yang telah binasa) itu. Sesungguhnya kepada Tuhan sahaja kita berharap."
68,33,Begitulah azab (yang ditimpakan kepada golongan yang ingkar di dunia). Sesung-guhnya azab akhirat lebih besar sekiranya mereka mengetahui (tentu mereka beringat).
68,34,Sesungguhnya bagi orang yang bertakwa disediakan taman syurga yang penuh kenikmatan di sisi Tuhan mereka.
68,35,Patutkah Kami (berlaku tidak adil dengan) menjadikan orang Islam (yang taat) sama seperti orang yang berdosa (yang kufur ingkar)?
68,36,Mengapakah kamu berbuat demikian? Bagaimana kamu menetapkan hukum (yang terang-terang salahnya itu)?
68,37,Adakah kamu mempunyai kitab (yang diturunkan Allah) yang kamu baca dan pelajari?
68,38,Sesungguhnya dalam kitab itu kamu boleh mendapat apa-apa sahaja yang kamu pilih?
68,39,"Adakah kamu memperoleh janji yang diperkuat dengan sumpah daripada Kami yang tetap hingga hari kiamat, menentukan bahawa kamu dapat mencapai apa-apa yang kamu putuskan?"
68,40,"Tanyakanlah kepada mereka, Siapakah antara mereka yang dapat menjamin ketetapan bahawa mereka akan mendapat balasan sebagaimana yang diperoleh orang Islam di akhirat?"
68,41,"Atau adakah mereka mempunyai sekutu-sekutu (yang sefahaman dengan mereka?Jika ada) hendaklah mereka membawanya, jika mereka orang yang benar."
68,42,"(Ingatlah orang yang tidak beriman) akan didedahkan kedahsyatan huru-hara (hari kiamat) dan mereka diseru supaya sujud, namun mereka tidak melakukannya."
68,43,"Pandangan mereka tertunduk ke bawah, diliputi kehinaan. Sesungguhnya, dahulu (di dunia) mereka telah diseru supaya bersujud sewaktu mereka sihat (tetapi mereka enggan melakukannya)."
68,44,Maka serahkanlah kepada-Ku (wahai Muhammad) dengan orang yang mendus-takan keterangan al-Quran ini. Kelak Kami akan hukum mereka beransur-ansur dari arah yang tidak diketahui mereka.
68,45,Aku akan melanjutkan tempoh untuk mereka. Sesungguhnya perancangan-Ku sangat kukuh (terhadap golongan yang ingkar itu).
68,46,"Pernahkah kamu (wahai Muhammad) meminta balasan (ganjaran) daripada mereka (tentang ajaran Islam yang kamu sampaikan), lalu mereka berasa berat menanggung bayaran itu (sehingga mereka menjauhkan diri daripada menyahut seruanmu)?"
68,47,"Atau adakah di sisi mereka (Luh Mahfuz yang mengandungi) perkara-perkara ghaib, lalu mereka menyalin (daripadanya untuk menentang ajaran dan peringatanmu)?"
68,48,Maka bersabarlah (wahai Muhammad) terhadap ketetapan Tuhanmu (memberikan tempoh kepada mereka) dan janganlah kamu bersikap seperti orang yang telah ditelan oleh ikan. (Ingatlah kisahnya) ketika dia berdoa merayu dengan keadaan sesak sebak terkurung di dalam perut ikan.
68,49,"Sekiranya dia tidak mendapat nikmat pertolongan daripada Tuhannya, nescaya dia tercampak ke tanah yang tandus (di tepi pantai) dalam keadaan ditempelak (kerana salah silapnya)."
68,50,Selepas itu Tuhannya memilih dirinya dan menjadikannya termasuk dalam kala-ngan orang yang soleh.
68,51,"Dan sesungguhnya orang kafir itu hampir-hampir menggelincirkan dan men-jatuhkanmu dengan pandangan mereka (yang penuh dengan permusuhan dan kebencian) ketika mereka mendengar al-Quran sambil berkata, Dia (Muhammad) itu benar-benar orang gila."
68,52,Padahal al-Quran itu tidak lain hanyalah peringatan bagi umat manusia seluruhnya.
69,1,Saat yang pasti.
69,2,Apakah saat yang pasti?
69,3,Dan bagaimanakah kamu dapat menge-tahui tentang (sifat dan keadaan) saat yang pasti itu (saat itu ialah hari kiamat)?
69,4,Kaum Thamud dan Aad telah mendustakan hari (kiamat) yang menggemparkan dan mengharu-birukan itu.
69,5,"Maka (masing-masing menerima azab dunianya), yang mana kaum Thamud (kaum Saleh) telah dibinasakan dengan (pekikan) yang sangat dahsyat."
69,6,"Adapun kaum Aad (kaum Hud), mereka telah dibinasakan dengan angin taufan yang sangat sejuk lagi amat kencang."
69,7,"Yang diarahkan menyerang mereka tujuh malam lapan hari terus-menerus. (Kalaulah kamu menyaksikannya), maka kamu akan melihat kaum itu mati bergelimpangan seolah-olah mereka itu seperti batang-batang pohon kurma yang (tumbang dan) lompong."
69,8,"Dengan yang demikian, dapatkah kamu melihat lagi sisa-sisa mereka (yang masih hidup)?"
69,9,Dan datanglah Firaun dan orang yang sebelumnya serta penduduk negeri-negeri yang ditunggangbalikkan kerana kesalahan yang besar.
69,10,"Maka mereka menderhakai Rasul yang diutus oleh Tuhan mereka, lalu Allah menyeksa mereka dengan seksaan yang sentiasa bertambah."
69,11,"Sesungguhnya ketika air bah melampaui hadnya (serta menenggelamkan gunung-ganang), Kami telah mengangkut (serta menyelamatkan nenek moyang) kamu ke dalam bahtera Nuh (yang bergerak laju pelayarannya)."
69,12,Agar Kami jadikan peristiwa itu sebagai peringatan bagi kamu dan agar didengari oleh telinga (orang) yang mahu mendengar (menerima pengajaran).
69,13,Maka apabila sangkakala ditiup dengan sekali tiupan.
69,14,"Dan bumi serta gunung-ganang diangkat, lalu dihancurkan kedua-duanya dengan sekali hentaman."
69,15,Maka pada saat itu terjadilah hari kiamat.
69,16,Dan terbelahlah langit lalu menjadi reput (dan runtuh) pada saat itu.
69,17,Dan sedangkan para Malaikat mengawal segala penjuru. Arasy Tuhanmu pada saat itu ditanggung oleh lapan Malaikat di atas (kepala) mereka yang mengawal itu.
69,18,"Pada hari itu, kamu semua dihadapkan (kepada Tuhanmu untuk hitungan amalan). Tidak ada suatu pun perkara yang tersembunyi (daripada Allah)."
69,19,"Maka sesiapa yang menerima kitab amalannya dengan tangan kanannya, maka dia akan berkata (dengan gembiranya kepada sesiapa sahaja yang ada di sisinya), Nah, bacalah kamu kitab amalanku ini!"
69,20,Sesungguhnya aku telah mengetahui dengan yakin bahawa aku akan mengha-dapi hitungan amalanku (pada hari yang ditentukan)!
69,21,Maka (dengan itu) tinggallah dia da-lam kehidupan yang senang-lenang lagi memuaskan.
69,22,Di dalam syurga yang tinggi (darjatnya).
69,23,Buah-buahannya dekat untuk dipetik.
69,24,"(Masing-masing dipersilakan menik-matinya dengan dikatakan kepada mereka), Makan dan minumlah kamu sebagai nikmat yang lazat dan baik kesudahannya dengan sebab (amalan soleh) yang telah kamu lakukan pada masa yang lalu (di dunia)!"
69,25,"Dan adapun orang yang menerima kitab amalannya dengan tangan kirinya, maka dia akan berkata (dengan sesalnya), Alangkah baiknya kalau aku tidak diberikan kitab amal-anku."
69,26,Sehingga aku tidak mengetahui hitungan amalanku.
69,27,Alangkah baiknya kalau kematianku di dunia dahulu menjadi pemutus (yang menamatkan kesudahanku dan tidak dibangkitkan lagi).
69,28,Harta kekayaanku tidak dapat menolongku sedikit pun.
69,29,Kekuasaanku (dan hujah-hujahku untuk membela diri) telah binasa dan hilang lenyap daripadaku.
69,30,"(Lalu diperintahkan Malaikat penjaga neraka), Tangkaplah orang yang berdosa itu serta belenggulah dia."
69,31,"Kemudian, masukkan dan bakarlah dia di dalam neraka Jahim."
69,32,"Kemudian, masukkanlah dia ke dalam (lingkaran) rantai besi yang ukuran panjangnya tujuh puluh hasta (dengan membelitkan rantai besi itu ke badannya)!"
69,33,Sesungguhnya dahulu dia tidak beriman kepada Allah Yang Maha Agung.
69,34,Dan dia juga tidak menggalakkan (dirinya dan orang lain) memberi makanan kepada orang miskin.
69,35,"Maka pada hari ini, tidak ada baginya di sini (seorang pun daripada) kaum kerabat serta sahabat handainya (yang dapat menolongnya)."
69,36,Dan tidak ada makanan (baginya) me-lainkan daripada air danur.
69,37,Tidak ada yang memakannya kecuali orang yang berdosa.
69,38,"Maka aku bersumpah, demi segala (yang nyata) yang kamu lihat."
69,39,Dan segala (yang ghaib) yang kamu tidak dapat melihatnya.
69,40,Sesungguhnya al-Quran itu benar-benar (wahyu daripada Kami) yang disampaikan oleh Rasul yang mulia.
69,41,"Dan al-Quran itu bukanlah kata-kata seorang penyair (sebagaimana yang kamu dakwa. Tetapi, sayang!) amat sedikit kamu beriman."
69,42,"Juga, al-Quran itu bukanlah kata-kata seorang tukang tilik (sebagaimana yang kamu katakan. Tetapi, sayang!) amat sedikit kamu mengambil peringatan."
69,43,"(Al-Quran itu) diturunkan daripada Allah, Tuhan seluruh alam."
69,44,"Dan sekiranya (Muhammad yang menyampaikan al-Quran itu) mengatakan sebarang kata-kata rekaan atas nama Kami secara dusta,"
69,45,Pasti Kami akan menyentapnya dengan kekuasaan Kami.
69,46,"Kemudian, sudah tentu Kami akan memotong pembuluh jantungnya (supaya dia mati dengan serta-merta)."
69,47,Maka tidak ada seorang pun antara kamu yang dapat menghalang (tindakan Kami itu) daripada menimpanya.
69,48,Dan sesungguhnya (al-Quran) itu tetap menjadi peringatan bagi orang yang bertakwa.
69,49,"Dan sesungguhnya Kami sedia mengetahui bahawa ada antara kamu yang mendustakan (al-Quran, maka Kami akan membalasnya)."
69,50,Dan sesungguhnya al-Quran itu sudah tentu akan menyebabkan penyesalan bagi orang kafir (semasa mereka menerima balasan).
69,51,Dan sesungguhnya al-Quran itu ialah kebenaran yang diyakini (dengan seyakin-yakinnya).
69,52,"Oleh itu, bertasbihlah dengan memuji nama Tuhanmu Yang Maha Agung."
70,1,Salah seorang (dalam kalangan orang kafir Mekah secara mengejek-ejek) meminta kedatangan azab yang (dijanjikan) akan berlaku.
70,2,"Azab yang disediakan untuk orang kafir, yang tidak ada sesiapa pun dapat menolak kedatangannya."
70,3,Daripada Allah yang menguasai tempat-tempat turun naik.
70,4,Yang dilalui oleh para Malaikat dan Jibril ke pusat pemerintahan-Nya (untuk menerima dan menyempurnakan tugas masing-masing terutama) pada satu hari (masa) yang tempohnya (dirasai oleh orang yang bersalah) sungguh panjang kadarnya selama lima puluh ribu tahun (kerana banyak hitungan hisab dan berat soal jawabnya).
70,5,Maka bersabarlah (wahai Muhammad terhadap ejekan golongan yang kafir itu) dengan kesabaran yang sebaik-baiknya.
70,6,"Sebenarnya, mereka memandang azab itu jauh (daripada berlaku)."
70,7,Sedangkan Kami memandangnya dekat (tetap akan berlaku).
70,8,(Iaitu) pada hari langit menjadi seperti tembaga cair.
70,9,Dan gunung-ganang pula menjadi seperti bulu (yang berterbangan).
70,10,Dan tidak ada sahabat karib yang ber-tanyakan hal sahabat karibnya (kerana setiap orang sibuk memikirkan keadaan diri sendiri).
70,11,Padahal masing-masing dapat melihat yang lain. (Pada saat begitu) orang kafir suka kiranya dapat menebus dirinya daripada azab itu dengan anak-anaknya sendiri.
70,12,Dan isterinya serta saudaranya.
70,13,Dan kaum kerabat yang melindunginya.
70,14,"Juga sekalian makhluk yang ada di bumi, kemudian (diharapkannya) tebusan itu dapat menyelamatkannya."
70,15,Tidak sekali-kali (sebagaimana yang diharapkannya)! Sesungguhnya neraka (yang disediakan untuknya) tetap menjulang-julang apinya.
70,16,(Membakar dan) menggugurkan kulit ubun-ubun serta anggota badan.
70,17,Neraka itu juga memanggil dan menarik orang yang membelakangi serta berpaling (daripada kebenaran).
70,18,Dan orang yang mengumpulkan (harta kekayaan) lalu menyimpannya (tanpa membayar zakat).
70,19,Sesungguhnya manusia itu diciptakan bertabiat resah gelisah (bakhil kedekut).
70,20,Apabila dia ditimpa kesusahan dia ber-keluh-kesah.
70,21,"Dan apabila dia beroleh kesenangan, dia sangat bakhil kedekut."
70,22,Kecuali orang yang mendirikan solat.
70,23,Iaitu mereka yang tetap setia mendirikan solatnya.
70,24,Dan juga mereka (yang menentukan bahagian) pada harta bendanya menjadi hak yang termaklum.
70,25,Bagi orang miskin yang meminta dan orang miskin yang menahan diri (daripada meminta).
70,26,Dan mereka yang mempercayai hari pembalasan (dengan melakukan amalan soleh sebagai buktinya).
70,27,Dan mereka yang takut ditimpa azab Tuhannya.
70,28,Kerana sesungguhnya tidak ada seorang pun yang patut berasa aman dengan azab Tuhan mereka.
70,29,Dan mereka yang memelihara kehor-matannya.
70,30,"Kecuali terhadap isteri mereka atau hamba sahaya yang dimiliki mereka, maka sesungguhnya mereka tidak tercela."
70,31,"Maka sesiapa mencari selain yang demi-kian, mereka itulah orang yang melampaui batas."
70,32,Mereka yang memelihara amanah dan janjinya.
70,33,Mereka yang memberikan keterangan dengan benar dan adil (semasa menjadi saksi).
70,34,Dan mereka yang memelihara solatnya.
70,35,Mereka (yang bersifat begitu) dimuliakan di dalam syurga.
70,36,Maka mengapakah orang kafir yang menentangmu (wahai Muhammad) datang berkejaran ke sisimu?
70,37,"(Sambil mereka) berkumpul, berpuak-puak di sebelah kanan dan di sebelah kirimu."
70,38,Patutkah setiap seorang daripada mereka berharap supaya masuk syurga yang penuh kenikmatan (sedangkan dia tidak beriman)?
70,39,Tidak mungkin! (Mereka yang kufur ingkar tidak akan dapat memasukinya) Sesungguhnya Kami telah menciptakan mereka daripada apa-apa yang sedia diketahui oleh mereka.
70,40,"Maka Aku bersumpah dengan (kebesaran-Ku) Tuhan yang menguasai (seluruh alam meliputi) tempat terbit (matahari, bulan dan bintang dan tempat tenggelamnya), sesungguhnya Kami benar-benar berkuasa."
70,41,Untuk (membinasakan mereka serta) menggantikan mereka dengan kaum yang lebih baik daripada mereka dan Kami tidak sekali-kali dapat dikalahkan atau dilemahkan.
70,42,Maka biarkanlah mereka (wahai Muhammad) tenggelam dalam kesesatan dan leka bermain (dalam dunianya hingga mereka menemui hari yang dijanjikan kepada mereka (untuk menerima balasan)!
70,43,Iaitu pada hari ketika mereka keluar dari kubur masing-masing menuju (ke Padang Mahsyar) seolah-olah berkejaran ke (tempat) berhala (yang disembah oleh mereka dahulu).
70,44,Sambil pandangan mereka tertunduk ke bawah diliputi kehinaan. Itulah hari yang dijanjikan kepada mereka.
71,1,"Sesungguhnya Kami telah mengutus Nuh kepada kaumnya (dengan perintah), Berilah kaummu peringatan dan amaran sebelum datang kepada mereka azab yang pedih."
71,2,"Dia (merayu kepada mereka dengan) berkata, Wahai kaumku, sesungguhnya aku diutuskan kepada kamu sebagai pemberi peringatan dan amaran yang jelas!"
71,3,"Sembahlah Allah, bertakwalah kepada-Nya dan taatlah kepadaku."
71,4,"Supaya Allah mengampunkan seba-hagian dosamu dan menangguhkan kamu daripada azab sampai batas waktu yang ditentukan, (maka segeralah beribadat dan bertakwa). Sesungguhnya ketetapan Allah itu apabila ajal telah datang, maka ia tidak dapat ditunda seandainya kamu mengetahui (hakikat ini, tentulah kamu segera beriman)."
71,5,"(Setelah puas menyeru mereka), Nuh berdoa, Wahai Tuhanku, sesungguhnya aku telah menyeru kaumku siang dan malam (supaya mereka beriman)!"
71,6,"Tetapi, seruanku itu tidak menambahkan (iman) mereka, malah mereka (semakin) lari (daripada kebenaran)."
71,7,"Dan sesungguhnya setiap kali aku me-nyeru mereka (untuk beriman) agar Engkau mengampunkan dosa-dosa mereka, mereka memasukkan anak jari ke telinga mereka sambil berselubung dengan pakaian mereka dan mereka tetap berdegil mengingkarinya dan sangat menyombongkan diri."
71,8,"Kemudian, aku telah menyeru mereka secara terang-terangan."
71,9,"Selain itu, aku menyeru mereka (beru-lang-ulang) secara beramai-ramai dengan berterus terang dan menyeru mereka secara berseorangan dengan perlahan-lahan."
71,10,"Sehingga aku berkata (kepada mereka), Mohonlah keampunan daripada Tuhanmu, sesungguhnya Dia Maha Pengampun."
71,11,(Sekiranya kamu berbuat demikian) nescaya Dia akan menurunkan hujan yang lebat dari langit kepadamu.
71,12,Dan Dia mengurniakan kamu harta kekayaan dan anak pinak dan menjadikan bagi kamu kebun-kebun tanaman serta menjadikan bagi kamu sungai (yang mengalir di dalamnya).
71,13,Mengapakah kamu tidak menghargai kebesaran Allah (dan kekuasaan-Nya)?
71,14,Padahal sesungguhnya Dia telah menciptakan kamu dengan kejadian yang berperingkat-peringkat.
71,15,Tidakkah kamu perhatikan bagaimana Allah telah menjadikan tujuh langit yang berlapis-lapis?
71,16,Dan Dia menjadikan bulan yang ber-cahaya dan menjadikan matahari sebagai lampu (yang menerangi).
71,17,Dan Allah telah menumbuhkan bagi kamu (benda-benda yang berasal) dari bumi dengan tumbuhan yang sungguh sempurna.
71,18,"Kemudian, Dia mengembalikan kamu ke bumi (sesudah mati dan mengeluarkan kamu daripadanya (sesudah dihidupkan semula untuk dihitung amalan dan diberi balasan)."
71,19,Dan Allah telah menjadikan bumi untuk kamu sebagai hamparan.
71,20,Agar kamu melalui jalan-jalan yang luas padanya.
71,21,"Nuh berkata, Wahai Tuhanku, sesung-guhnya mereka telah menderhaka kepadaku dan mereka telah menurut orang yang harta dan anak pinaknya tidak menambahinya melainkan kerugian (di akhirat kelak)!"
71,22,Dan mereka melakukan tipu daya dengan perancangan yang besar (untuk menentang seruanku).
71,23,"Dan (ketua-ketua) mereka (menghasut dengan) berkata, Jangan kamu meninggalkan (penyembahan) tuhan kamu terutamanya penyembahan Wadd, Suwaa, Yaghuth, Yauq dan Nasr."
71,24,Dan sesungguhnya ketua-ketua itu telah menyesatkan ramai orang dan janganlah Engkau (wahai Tuhanku!) tambahkan bagi orang yang zalim itu melainkan kesesatan.
71,25,"Disebabkan dosa dan kesalahan mereka, maka mereka pun ditenggelamkan (dengan bah dan taufan), lalu (pada hari akhirat) dimasukkan ke dalam neraka, maka mereka tidak akan beroleh sebarang penolong selain Allah (yang dapat memberikan pertolongan)."
71,26,"Dan Nuh berkata, Wahai Tuhanku, janganlah Engkau biarkan seorang pun antara orang kafir itu tinggal di atas bumi!"
71,27,"Sesungguhnya jika Engkau membiarkan mereka hidup, nescaya mereka akan menyesatkan hambamu dan mereka tidak akan melahirkan anak melainkan pembuat dosa lagi kufur ingkar."
71,28,"Wahai Tuhanku, ampunkanlah aku, ibu bapaku, dan sesiapa pun yang memasuki rumahku dengan beriman dan (ampunkanlah) semua orang yang beriman, lelaki dan perempuan. Janganlah Engkau tambahkan bagi orang yang zalim itu melainkan kebinasaan!"
72,1,"Katakanlah (wahai Muhammad), Telah diwahyukan kepadaku bahawa sekumpulan jin telah mendengar (al-Quran yang aku bacakan), lalu mereka berkata, Sesungguhnya kami telah mendengar al-Quran (sebuah kitab suci) yang susunan dan kandungan-nya sungguh menakjubkan."
